instance_id,source,n_failures,repetition_ratio,consecutive_dupe_rate,dominance,handoff_rate,error_density,verify_density,code_density,length_cv,growth_ratio,has_termination,n_agents,n_steps,Fail to detect ambiguities/contradictions,Proceed with incorrect assumptions,Fail to elicit clarification,Tendency to overachieve,Underperform by waiting on instructions,Withholding relevant information,Derailing from task objectives,Waiting on agents to discover known insights for increased confidence,Redundant conversation turns for iterative tasks rather than batching,Unaware of stopping conditions,Difficulty in agreeing with agents,No attempt to verify outcome,Evaluator agent fails to be critical,Poor adherence to specified constraints,Misalignment between internal thoughts and response message,Claiming that a task is done while it is not true.,Ignoring good suggestions from other agent,Discontinued reasoning,Trajectory restart,Step repetition,Invented content,Blurring roles
02da9c1f-7c36-5739-b723-33a7d4f8e7e7,AG2,2,0.300000,0.000000,0.500000,1.000000,0.000000,0.200000,0.300000,1.060226,0.465664,0.000000,2.000000,10.000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
08a6477e-37a2-5633-8a6e-478b568a578e,AG2,3,0.125000,0.000000,0.500000,1.000000,0.000000,0.250000,1.000000,1.294912,0.138803,0.000000,2.000000,8.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
094b6ef4-9501-550d-b9f8-4d5330d07e34,AG2,1,0.000000,0.000000,0.500000,1.000000,0.000000,0.500000,1.750000,0.990552,0.039374,0.000000,2.000000,4.000000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0ff37ee5-529e-5503-bf41-d1e9c78f578e,AG2,2,0.125000,0.000000,0.500000,1.000000,0.000000,0.250000,1.375000,0.993428,0.287118,0.000000,2.000000,8.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
14137873-7797-5cdd-ae7f-abb88d8158a3,AG2,2,0.000000,0.000000,0.500000,1.000000,0.000000,0.500000,2.500000,0.997548,0.032775,0.000000,2.000000,4.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2a8fa54b-df25-5d6f-a7a0-e40885768b1b,AG2,3,0.000000,0.000000,0.500000,1.000000,0.000000,0.333333,1.166667,1.189265,0.182412,0.000000,2.000000,6.000000,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2e7a0791-92af-5e3c-b186-145c42105766,AG2,2,0.000000,0.000000,0.500000,1.000000,0.000000,0.333333,2.000000,1.027107,0.433579,0.000000,2.000000,6.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
305925e4-8c67-5460-abdb-b143cf45a9fd,AG2,1,0.000000,0.000000,0.500000,1.000000,0.000000,0.500000,1.500000,0.956658,0.069465,0.000000,2.000000,4.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3fecef98-fc49-5912-8be2-fa8c02e949a2,AG2,1,0.000000,0.000000,0.500000,1.000000,0.000000,0.500000,1.750000,0.928586,0.039230,0.000000,2.000000,4.000000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
58be8739-d76d-579a-8ceb-ffc2f3064f18,AG2,2,0.000000,0.000000,0.500000,1.000000,0.000000,0.333333,1.166667,1.161610,0.153709,0.000000,2.000000,6.000000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65b61e80-7336-5503-84bd-8c4a500b011e,AG2,1,0.000000,0.000000,0.500000,1.000000,0.333333,0.500000,2.666667,0.896519,0.403661,0.000000,2.000000,6.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
674c4a6f-7e3f-5f2f-9f88-4b3a7674a2f5,AG2,1,0.000000,0.000000,0.500000,1.000000,0.000000,1.250000,1.750000,1.155376,0.067428,0.000000,2.000000,4.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6891537b-54d7-5f49-b9e4-790b5e6a5de6,AG2,2,0.000000,0.000000,0.500000,1.000000,0.000000,0.500000,1.500000,1.034698,0.032177,1.000000,2.000000,4.000000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
